Precursor;Activator;Activator_carbon_ratio;Activation T (K);T adsorption (K);P adsorption (bar);CO2 ads (mmol/g);CO2ads_2bins_5050;CO2ads_4bins;CO2ads_10bins;CO2ads_7228;adsorption_all_inputs;adsorption_only_BETpore;adsorption_wo_BETpore;adsorption_all_inputs_woNAME;adsorption_wo_BETporeNAME
Catkin;ZnCl2;4;1173;273;1;4.6;1;3;8;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K
Catkin;ZnCl2;4;1173;273;0.9;4.2;1;3;7;1;an activated carbon at 273 K and 0.9 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.9 bar, which has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.9 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K;an activated carbon at 273 K and 0.9 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.9 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K
Catkin;ZnCl2;4;1173;273;0.8;4;1;2;7;1;an activated carbon at 273 K and 0.8 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.8 bar, which has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.8 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K;an activated carbon at 273 K and 0.8 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.8 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K
Catkin;ZnCl2;4;1173;273;0.7;3.9;1;2;7;0;an activated carbon at 273 K and 0.7 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.7 bar, which has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.7 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K;an activated carbon at 273 K and 0.7 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.7 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K
Catkin;ZnCl2;4;1173;273;0.6;3.5;1;2;6;0;an activated carbon at 273 K and 0.6 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.6 bar, which has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.6 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K;an activated carbon at 273 K and 0.6 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.6 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K
Catkin;ZnCl2;4;1173;273;0.5;3;1;2;5;0;an activated carbon at 273 K and 0.5 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.5 bar, which has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.5 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K;an activated carbon at 273 K and 0.5 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.5 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K
Catkin;ZnCl2;4;1173;273;0.4;2.8;1;2;5;0;an activated carbon at 273 K and 0.4 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.4 bar, which has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.4 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K;an activated carbon at 273 K and 0.4 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.4 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K
Catkin;ZnCl2;4;1173;273;0.3;2.1;0;1;3;0;an activated carbon at 273 K and 0.3 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.3 bar, which has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.3 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K;an activated carbon at 273 K and 0.3 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.3 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K
Catkin;ZnCl2;4;1173;273;0.2;1.7;0;1;2;0;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.2 bar, which has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K
Catkin;ZnCl2;4;1173;273;0.1;1;0;0;1;0;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.1 bar, which has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K, and has a BET surface area of 1272.4 m2/g and a pore volume of 0.55 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 4 at an activation temperature of 1173 K
Catkin;ZnCl2;6;1073;273;1;4.1;1;2;7;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K
Catkin;ZnCl2;6;1073;273;0.9;3.8;1;2;6;0;an activated carbon at 273 K and 0.9 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.9 bar, which has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.9 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.9 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.9 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K
Catkin;ZnCl2;6;1073;273;0.8;3.5;1;2;6;0;an activated carbon at 273 K and 0.8 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.8 bar, which has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.8 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.8 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.8 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K
Catkin;ZnCl2;6;1073;273;0.7;3.1;1;2;5;0;an activated carbon at 273 K and 0.7 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.7 bar, which has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.7 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.7 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.7 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K
Catkin;ZnCl2;6;1073;273;0.6;2.9;1;2;5;0;an activated carbon at 273 K and 0.6 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.6 bar, which has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.6 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.6 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.6 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K
Catkin;ZnCl2;6;1073;273;0.5;2.5;0;1;4;0;an activated carbon at 273 K and 0.5 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.5 bar, which has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.5 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.5 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.5 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K
Catkin;ZnCl2;6;1073;273;0.4;2.1;0;1;3;0;an activated carbon at 273 K and 0.4 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.4 bar, which has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.4 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.4 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.4 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K
Catkin;ZnCl2;6;1073;273;0.3;1.9;0;1;3;0;an activated carbon at 273 K and 0.3 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.3 bar, which has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.3 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.3 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.3 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K
Catkin;ZnCl2;6;1073;273;0.2;1.2;0;0;1;0;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.2 bar, which has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K
Catkin;ZnCl2;6;1073;273;0.1;0.9;0;0;1;0;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.1 bar, which has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K, and has a BET surface area of 1248.7 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 6 at an activation temperature of 1073 K
Catkin;ZnCl2;8;1073;273;1;2.7;0;1;4;0;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K
Catkin;ZnCl2;8;1073;273;0.9;2.3;0;1;4;0;an activated carbon at 273 K and 0.9 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.9 bar, which has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.9 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.9 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.9 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K
Catkin;ZnCl2;8;1073;273;0.8;2.2;0;1;4;0;an activated carbon at 273 K and 0.8 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.8 bar, which has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.8 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.8 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.8 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K
Catkin;ZnCl2;8;1073;273;0.7;2;0;1;3;0;an activated carbon at 273 K and 0.7 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.7 bar, which has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.7 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.7 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.7 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K
Catkin;ZnCl2;8;1073;273;0.6;1.9;0;1;3;0;an activated carbon at 273 K and 0.6 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.6 bar, which has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.6 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.6 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.6 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K
Catkin;ZnCl2;8;1073;273;0.5;1.8;0;1;3;0;an activated carbon at 273 K and 0.5 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.5 bar, which has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.5 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.5 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.5 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K
Catkin;ZnCl2;8;1073;273;0.4;1.6;0;1;2;0;an activated carbon at 273 K and 0.4 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.4 bar, which has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.4 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.4 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.4 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K
Catkin;ZnCl2;8;1073;273;0.3;1.1;0;0;1;0;an activated carbon at 273 K and 0.3 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.3 bar, which has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.3 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.3 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.3 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K
Catkin;ZnCl2;8;1073;273;0.2;0.9;0;0;1;0;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.2 bar, which has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Catkin as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K, and has a BET surface area of 1024.8 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 8 at an activation temperature of 1073 K
